"1083542","built","1701","1800","century","georgian","C18","source gives ""C18""; the 18th century is 1701–1800","","18th century","1.0.0"
"1083542","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1116224","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1130832","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1131291","built","1632","1632","exact_year","stuart","Dated 1632","source states ""Dated 1632""; a year is read only where the record says it is a date","","1632","1.0.0"
"1131913","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1133050","built","1066","1153","period","norman","Norman","source names the period ""Norman""; years from the Whilom period registry, which is a navigation convention","","Norman","1.0.0"
"1133453","built","1783","1783","exact_year","georgian","Dated 1783","source states ""Dated 1783""; a year is read only where the record says it is a date","","1783","1.0.0"
"1135026","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1135647","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1150369","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1150941","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1172719","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1174023","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1179338","built","1675","1675","exact_year","stuart","Dated 1675","source states ""Dated 1675""; a year is read only where the record says it is a date","","1675","1.0.0"
"1189032","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1199547","built","1783","1783","exact_year","georgian","Dated 1783","source states ""Dated 1783""; a year is read only where the record says it is a date","","1783","1.0.0"
"1250727","built","1701","1800","century","georgian","C18","source gives ""C18""; the 18th century is 1701–1800","","18th century","1.0.0"
"1251122","built","1728","1728","exact_year","georgian","Dated 1728","source states ""Dated 1728""; a year is read only where the record says it is a date","","1728","1.0.0"
"1251122","built","1729","1729","exact_year","georgian","Dated 1729","source states ""Dated 1729""; a year is read only where the record says it is a date","","1729","1.0.0"
"1251123","built","1744","1744","exact_year","georgian","Dated 1744","source states ""Dated 1744""; a year is read only where the record says it is a date","","1744","1.0.0"
"1251123","built","1681","1681","exact_year","stuart","Dated 1681","source states ""Dated 1681""; a year is read only where the record says it is a date","","1681","1.0.0"
"1257912","built","1801","1900","century","victorian","Nineteenth Century","source gives ""Nineteenth Century""; the 19th century is 1801–1900","","19th century","1.0.0"
"1259396","built","1768","1800","century","georgian","late-C18","source gives ""late-C18""; the late third of the 18th century by Whilom convention, and still a century-level claim","late","late 18th century","1.0.0"
"1261770","built","1801","1833","century","georgian","Early C19","source gives ""Early C19""; the early third of the 19th century by Whilom convention, and still a century-level claim","early","early 19th century","1.0.0"
"1262922","built","1725","1725","exact_year","georgian","dated 1725","source states ""dated 1725""; a year is read only where the record says it is a date","","1725","1.0.0"
"1262922","built","1746","1746","exact_year","georgian","dated 1746","source states ""dated 1746""; a year is read only where the record says it is a date","","1746","1.0.0"
"1293914","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1295957","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1296810","built","1485","1602","period","tudor","Tudor","source names the period ""Tudor""; years from the Whilom period registry, which is a navigation convention","","Tudor","1.0.0"
"1301701","built","1706","1706","exact_year","stuart","Died 1706","source states ""Died 1706""; a year is read only where the record says it is a date","","1706","1.0.0"
